trialID	trialType	cond	animacy	Target	Contrast	Competitor	Distractor	audio
test2001	low-entropy_man-made	contrast	inanimate	rope_red	rope_green	pencil_red	bird_black	rope_red
test2002	low-entropy_man-made	contrast	inanimate	comb_black	comb_yellow	towel_black	fish_red	comb_black
test2003	low-entropy_man-made	contrast	inanimate	pencil_red	pencil_blue	shirt_red	pepper_green	pencil_red
test2004	low-entropy_man-made	contrast	inanimate	ball_black	ball_white	frog_black	cup_yellow	ball_black
test2005	low-entropy_man-made	contrast	inanimate	bowl_red	bowl_blue	shirt_red	apple_green	bowl_red
test2006	low-entropy_man-made	contrast	inanimate	shoes_black	shoes_white	bird_black	book_yellow	shoes_black
test2007	low-entropy_man-made	contrast	inanimate	pants_red	pants_white	car_red	eggs_blue	pants_red
test2008	low-entropy_man-made	contrast	inanimate	chair_black	chair_green	rope_black	comb_blue	chair_black
test2009	low-entropy_man-made	contrast	inanimate	shirt_red	shirt_yellow	stone_red	bird_blue	shirt_red
test2010	low-entropy_man-made	contrast	inanimate	pencil_black	pencil_red	bird_black	flower_yellow	pencil_black
test2011	low-entropy_man-made	no_contrast	inanimate	cup_red	pepper_green	shoes_red	fish_blue	cup_red
test2012	low-entropy_man-made	no_contrast	inanimate	bucket_black	bird_blue	butterfly_black	ball_yellow	bucket_black
test2013	low-entropy_man-made	no_contrast	inanimate	book_red	butterfly_green	shoes_red	spider_white	book_red
test2014	low-entropy_man-made	no_contrast	inanimate	car_black	bird_blue	pants_black	shoes_white	car_black
test2015	low-entropy_man-made	no_contrast	inanimate	pot_red	snake_yellow	shirt_red	frog_blue	pot_red
test2016	low-entropy_man-made	no_contrast	inanimate	shirt_black	comb_green	dog_black	eyes_yellow	shirt_black
test2017	low-entropy_man-made	no_contrast	inanimate	shoes_red	ball_white	bird_red	shirt_blue	shoes_red
test2018	low-entropy_man-made	no_contrast	inanimate	towel_black	fish_red	pot_black	stone_yellow	towel_black
test2019	low-entropy_man-made	no_contrast	inanimate	chair_red	frog_yellow	book_red	towel_blue	chair_red
test2020	low-entropy_man-made	no_contrast	inanimate	pot_black	rope_green	bowl_black	cup_blue	pot_black
test2021	low-entropy_natural	contrast	animate	spider_red	spider_blue	shirt_red	frog_black	spider_red
test2022	low-entropy_natural	contrast	animate	frog_black	frog_white	cup_black	pepper_yellow	frog_black
test2023	low-entropy_natural	contrast	animate	bird_red	bird_green	book_red	bowl_yellow	bird_red
test2024	low-entropy_natural	contrast	inanimate	flower_red	flower_green	cup_red	bowl_blue	flower_red
test2025	low-entropy_natural	contrast	animate	butterfly_red	butterfly_green	leaf_red	monkey_black	butterfly_red
test2026	low-entropy_natural	contrast	animate	monkey_black	monkey_white	bowl_black	cup_blue	monkey_black
test2027	low-entropy_natural	contrast	animate	snake_red	snake_white	pepper_red	cup_green	snake_red
test2028	low-entropy_natural	contrast	inanimate	stone_black	stone_blue	spider_black	chair_red	stone_black
